id,title,plot
0,Dinosaur Planet,A four-episode animated series charting the adventures of four dinosaurs - each on a different continent in the prehistoric world: a lone female Velociraptor in Asia; a young male Daspletosaurus in North America; a South American female Saltasaur; and a young adult Pyroraptor in Europe. Narrated by Christian Slater and hosted by paleontologist Scott Sampson.::Anonymous
1,Character,"Jacob Katadreuffe lives mute with his mother, has no contact with his father who only works against him and wants to become a lawyer, at all costs."
2,Get Up and Dance!,"Join Paula Abdul for the ultimate workout - an hour so fun you'll forget all about the fitness part! Paula's new aerobic dance workout program is unlike anything else out there. It combines both low- and high-impact aerobics, with a strong focus on burning all that unwanted fat. It's safe and exciting for beginners, yet challenging enough for pros. Best of all, it's a great time - a workout you'll look forward to. So what are you waiting for...Get Up and Dance!::Anonymous"
3,The Rise and Fall of El Chapo,"Killer, drug smuggler, folk hero, Houdini of jailhouse escapes--the legend of Joaquin ""El Chapo"" Guzman is well known. But now take an unprecedented look at the man behind the myth and how his international drug cartel impacts us right here at home."
4,Sick - IMDb,"Dorian's one of the stars of For Life on ABC-his character just came out of the closet, a big moment in his arc-but he's been a working actor for years-he was on Luke Cage, The Good Wife, Southland and a lot more. His wife is a big actor, too-Simone Missick played Misty Knight on Luke Cage. He's a thoughtful, creative artist who talks about acting and how to make it in the business."
5,8 Man,"After Tokyo police officer Yokoda is killed in the line of duty, his chief decides give Yokoda's body to Dr. Tani for use in a secret scientific experiment: Yokoda's brain will be transplanted into a super-powered robot body, making him into an unstoppable policeman of the future. The supercop develops problems, however, when he begins to remember his human past. Then there is the matter of Dr. Tani's other cyborg, who has become a super-powered homicidal maniac.::Jean-Marc Rocher <rocher@fiberbit.net>"
6,What the #$*! Do We (K)now!?,A fictional photographer's quest to spiritually rediscover herself is interspersed with documentary footage of scientists and theologians discussing the philosophical aspects of quantum physics.
7,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,"When school reporter Roger Smith meets a beautiful subhumanoid named Victoria, they fall in love but becomes determined to save her and the new school from a giant mutant squirrel, Tromie."
8,The Fighter,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
9,The Lord of the Rings: The Return of the King - Extended Edition,"The Crew records a Commentary Track for the 2003 Peter Jackson Movie ""The Lord of the Rings: The Return of the King - Extended Edition"""
10,Antarctica: The End of Earth - Iceberg,
11,Neil Diamond: Greatest Hits Live,
12,7 Seconds,"When an experienced thief accidentally makes off with a Van Gogh, his partner is kidnapped by gangsters in pursuit of the painting, forcing the criminal to hatch a rescue plan."
13,By Dawn's Early Light,"A non-NATO nuclear missile is fired from Turkey at USSR, where it detonates. Soviet response is automatic as it's seen as a NATO missile. Can continued escalation be avoided? We follow the US president and a bomber crew."
14,Seeta Aur Geeta,"Long-suffering heiress Seeta is treated worse than a servant by her abusive money-grubbing aunt. Meanwhile, her long-lost twin sister Geeta grows up to be a gutsy street-performer. One day, the girls unintentionally swap places."
15,Strange Relations,"A 39 y.o. NYC Jewish shrink has leukemia. His mom tells him that he was adopted from a teen Catholic girl in Liverpool, UK. He visits his bio mom and finds that he has two brothers (bone marrow donor?)."
16,Sesame Street Presents: The Street We Live On,"Elmo's World celebrates 35 years of Sesame Street. Elmo wants to know more about the street he lives on, so Grover takes him on a trip back in time to see what Sesame Street was like before Elmo was born."
17,Lilo and Stitch,Lilo & Stitch (2002) is reviewed.
18,Boycott,Black Americans boycott the public buses during the 1950s civil rights movement.
